Vertices,Comparisons(sparse),Duration(sparse),Comparisons(dense),Duration(dense)
428,2160,6.961,2928,7.672
429,2572,7.193,2792,7.576
430,2647,6.976,3154,7.487
431,2652,7.196,2745,7.681
432,2204,7.342,2781,7.949
433,2401,7.139,3088,8.036
434,2275,7.778,2815,7.677
435,2594,7.844,2861,7.801
436,3089,8.218,2987,7.992
437,2783,8.136,2924,8.332
438,2214,8.068,2963,7.548
439,3218,7.487,2759,7.925
440,2201,8.829,2988,8.374
441,2428,7.521,2947,8.773
442,2541,9.585,2918,9.566
443,2502,9.559,2982,8.771
444,2485,7.833,3118,8.51
445,2386,7.191,2984,7.987
446,2517,7.61,3046,7.962
447,2506,7.62,3062,8.185
448,2456,7.865,2980,9.001
449,2392,8.146,2984,7.983
450,3097,7.676,3009,7.818
451,2675,7.542,2961,7.953
452,2433,7.712,3237,7.823
453,2875,7.784,2921,7.987
454,2340,7.581,2943,7.95
455,2945,7.849,3122,8.314
456,2577,7.699,3062,8.287
457,2511,7.741,3018,8.419
458,2426,7.783,2930,8.26
459,2887,8.665,3143,11.209
460,2437,8.084,3129,8.163
461,2525,7.841,3042,8.237
462,3129,7.838,3011,8.446
463,2700,7.923,3006,8.472
464,3103,7.999,3004,8.435
465,2626,8.387,3017,8.321
466,2664,8.093,3151,8.517
467,2681,8.234,3233,8.505
468,2394,8.23,3281,8.455
469,2714,8.701,3180,9.225
470,2944,8.25,3003,8.737
471,3166,8.926,3220,8.642
472,2579,8.511,3011,8.724
473,2813,8.421,3037,8.89
474,2942,8.343,3002,8.697
475,2584,8.344,3038,8.959
476,2623,8.523,3047,8.929
477,2956,8.731,3169,9.052
478,3399,9.069,3193,8.873
479,3029,8.347,3413,9.17
480,2708,8.868,3284,9.805
481,2684,9.281,3242,9.014
482,3237,8.963,3157,9.163
483,2702,8.667,3239,9.459
484,2723,9.024,3152,9.233
485,2746,8.931,3236,9.22
486,2732,9.295,3325,9.466
487,2591,8.814,3084,9.477
488,2524,9.223,3347,9.535
489,2846,9.092,3170,9.311
490,2877,8.953,3206,9.645
491,3114,9.324,3252,9.589
492,2913,9.532,3297,9.487
493,2788,9.219,3288,9.822
494,3224,9.029,3336,9.834
495,3405,9.475,3436,9.736
496,3252,9.229,3352,10.079
497,3339,9.153,3364,9.724
498,2979,9.483,3414,9.613
499,3200,9.228,3430,9.815
500,2734,9.51,3363,10.026
501,3396,9.584,3230,10.035
502,2567,9.497,3310,10.046
503,2499,9.347,3187,9.974
504,2457,9.905,3525,9.982
505,2992,10.452,3358,10.051
506,3128,9.887,3350,10.326
507,3314,9.856,3591,10.481
508,2912,9.723,3302,10.199
509,3462,9.963,3428,10.167
510,3844,10.299,3274,10.331
511,2922,10.322,3393,10.098
512,3010,10.185,3364,10.843
513,3275,9.837,3427,10.688
514,3384,10.055,3332,10.4
515,2714,9.769,3461,10.291
516,3004,10.061,3461,10.283
517,2935,10.358,3324,10.494
518,2931,9.971,3619,10.598
519,3107,9.879,3519,10.631
520,2832,10.029,3461,10.567
521,2748,10.093,3465,10.598
522,2734,10.234,3584,10.757
523,3365,10.129,3490,10.75
524,2945,10.078,3392,10.728
525,3105,10.543,3413,10.789
526,3223,10.286,3429,10.912
527,2818,10.305,3505,11.032
528,2966,10.445,3517,11.117
529,3157,10.566,3412,10.923
530,2899,10.479,3743,11.113
531,3326,10.543,3470,11.057
532,3089,11.307,3644,11.207
533,2860,10.482,3577,11.229
534,3819,10.737,3515,11.132
535,3452,10.777,3709,11.378
536,2760,10.835,3577,11.622
537,3071,11.409,3569,11.446
538,2752,10.875,3429,11.298
539,3029,10.928,3550,11.462
540,2743,11.034,3714,11.508
541,2615,10.888,3512,11.319
542,3008,11.054,3409,11.381
543,3066,10.893,3543,11.675
544,2790,11.049,3748,12.003
545,2813,11.271,3519,11.463
546,3110,11.019,3708,11.873
547,3086,11.231,3566,11.689
548,3059,11.109,3509,11.681
549,3114,11.321,3814,11.584
550,3494,11.122,3557,11.713
551,3326,11.462,3631,11.891
552,2778,11.261,3712,11.802
553,3121,11.408,3635,11.88
554,3691,11.443,3609,11.989
555,3227,11.599,3693,12.019
556,2986,12.047,3661,12.4
557,3813,11.517,3873,12
558,3296,11.689,3918,12.263
559,3775,12.681,3790,13.1
560,3267,11.544,3674,12.084
561,3494,11.643,3634,12.722
562,3803,11.749,3664,12.245
563,3085,11.865,3858,12.119
564,3767,11.891,3668,12.601
565,2971,11.822,3735,12.725
566,3403,11.906,3998,12.908
567,3545,11.949,3917,12.754
568,3255,11.975,3719,12.665
569,3528,12.102,3754,12.829
570,3608,12.155,3733,12.708
571,3127,12.037,3796,12.985
572,3460,12.243,3744,12.86
573,3758,12.075,3662,12.689
574,3404,12.294,3800,13.073
575,3148,12.315,3962,13.047
576,3321,12.456,3878,13.032
577,3735,12.58,3796,13.155
578,3096,12.596,3737,12.858
579,3125,12.828,3755,13.049
580,3305,12.526,4037,13.311
581,3229,12.783,3841,12.994
582,3039,12.816,3869,13.136
583,4093,12.702,3815,13.186
584,4086,12.779,3915,13.168
585,3820,12.732,3729,13.289
586,3323,12.976,3655,13.489
587,4047,13.058,3994,13.404
588,3433,12.929,3895,13.723
589,3068,13.08,4038,13.66
590,4217,13.281,3891,14.244
591,3025,13.368,3928,13.903
592,3510,13.251,3885,13.887
593,3616,13.073,3897,14.492
594,3577,13.278,3914,13.791
595,3741,13.206,3976,13.814
596,3648,13.372,3877,14.11
597,3975,13.41,3982,13.917
598,3378,13.375,3897,13.817
599,3838,13.749,4115,14.167
600,3425,13.538,3968,14.138
601,3308,13.672,4027,14.188
602,3761,13.658,4037,14.114
603,3312,13.578,3951,14.205
604,4507,13.726,4020,14.16
605,4390,13.722,3934,14.294
606,3179,13.775,3904,14.446
607,3265,13.857,4013,14.493
608,4318,13.856,3992,14.462
609,3268,13.806,4002,14.886
610,3399,14.289,4032,14.55
611,3266,13.995,4012,14.361
612,3265,13.939,4291,14.503
613,3576,14.296,4131,14.323
614,3218,14.143,4288,15.075
615,3583,14.205,4300,14.496
616,3496,14.401,4218,14.978
617,3505,14.203,4297,15.186
618,3475,14.226,4040,15.078
619,3707,14.548,4068,15.077
620,3321,14.569,4166,15.11
621,3496,14.531,4207,15.623
622,4091,14.563,4279,15.131
623,3801,14.621,4067,15.28
624,4415,14.929,4243,15.253
625,3559,15.102,4298,15.203
626,3437,14.678,4133,15.499
627,3246,14.805,4325,15.636
628,4528,14.815,4359,16.285
629,4050,14.617,4135,15.688
630,3318,14.823,4241,15.435
631,3584,15.019,4128,15.823
632,3192,15.176,4263,15.879
633,3984,15.143,4175,16.004
634,3982,16.387,4278,15.831
635,3527,14.988,4258,15.944
636,3663,15.527,4132,15.712
637,3952,15.251,4273,15.973
638,4008,15.409,4319,15.904
639,3491,15.435,4316,16.04
640,3436,15.431,4254,16.072
641,3280,15.797,4273,16.141
642,3381,15.857,4488,16.207
643,3895,15.613,4222,16.301
644,4741,15.978,4342,16.724
645,3305,15.737,4241,16.283
646,3833,15.717,4358,16.126
647,4034,15.926,4209,16.312
648,4018,15.805,4330,16.462
649,3907,16.047,4214,17.076
650,3388,16.007,4685,16.449
651,4122,21.652,4350,16.975
652,4032,16.359,4215,16.907
653,3790,16.485,4336,17.049
654,3614,16.95,4299,16.31
655,3837,15.787,4429,16.625
656,4189,16.413,4254,17.186
657,3529,16.108,4341,16.811
658,4197,15.92,4479,16.329
659,3614,16.26,4369,16.794
660,4481,16.089,4668,16.796
661,4218,16.357,4792,17.119
662,3568,16.235,4464,16.716
663,4698,16.152,4560,16.986
664,4115,16.38,4408,17.046
665,4034,16.251,4385,16.81
666,3937,16.299,4388,16.815
667,3262,16.672,4330,17.132
668,4516,16.429,4469,17.092
669,4590,16.392,4697,16.919
670,4017,16.452,4463,17.497
671,4662,16.519,4391,17.306
672,3861,16.557,4422,17.195
673,3846,16.611,4406,17.404
674,4309,16.571,4618,17.317
675,4573,20.148,4409,17.585
676,3850,17.128,4602,17.968
677,3747,16.964,4587,17.95
678,4223,17.356,4601,17.904
679,3780,17.303,4460,18.087
680,3898,17.299,4468,18.443
681,3889,17.418,4586,18.394
682,4479,18.568,4590,18.231
683,3617,17.73,4588,18.203
684,4763,18.051,4548,19.441
685,4280,17.63,4583,17.997
686,4018,18.036,4603,18.748
687,3735,17.803,4526,18.592
688,4814,18.091,4558,18.555
689,3682,17.61,4514,18.628
690,4380,17.976,4663,18.568
691,4215,18.28,4510,19.04
692,3745,18.109,4558,18.775
693,4450,17.872,4641,19.301
694,3936,18.278,4838,18.854
695,4347,18.2,4691,18.963
696,4172,21.408,4754,19.539
697,3859,18.706,4670,19.483
698,3854,18.43,4693,19.651
699,3732,19.871,4637,21.349
700,4051,19.658,4682,21.469
701,3845,20.418,5070,20.313
702,4372,20.327,4789,20.477
703,3989,19.603,4734,19.842
704,4432,19.008,4844,20.79
705,4384,19.838,4580,20.33
706,4039,19.566,4657,19.773
707,3704,19.371,4716,19.458
708,4697,18.745,4688,19.491
709,4004,18.772,4595,19.949
710,4484,21.567,4785,20.835
711,3961,20.521,4714,19.893
712,4077,19.678,4865,21.165
713,3804,19.173,4989,19.946
714,4765,21.456,4780,20.435
715,4436,20.403,4619,21.016
716,5228,20.007,4906,20.871
717,4044,19.774,4770,20.701
718,4726,20.075,4798,20.762
719,4044,19.334,4717,19.526
720,4083,21.91,4835,20.157
721,4728,23,4819,19.719
722,4194,19.973,4607,19.804
723,3935,19.978,4830,20.108
724,4430,19.449,4717,20.866
725,4744,19.477,4751,20.689
726,4237,19.426,4857,20.1
727,4557,20.262,4948,20.363
728,4441,19.642,4820,20.204
729,4609,19.783,5174,20.491
730,4126,19.99,4781,21.315
731,4379,20.142,4837,21.291
732,4883,21.301,5006,21.37
733,4351,20.762,5013,21.498
734,4231,19.958,4603,20.814
735,4186,22.815,5079,21.256
736,4341,20.617,4762,22.237
737,4073,20.989,4885,21.838
738,4235,21.099,5090,24.256
739,4571,20.394,5346,22.154
740,4162,20.829,5298,21.769
741,4292,21.852,4913,22.199
742,4212,21.221,4928,21.816
743,4022,21.191,4648,21.943
744,3660,21.212,4953,22.176
745,4751,21.37,4936,22.305
746,4293,21.465,4757,25.153
747,5006,22.984,4954,22.444
748,4693,21.839,5020,24.891
749,3979,22.013,5087,23.495
750,4133,22.422,5016,23.797
751,4577,22.034,4968,27.682
752,3996,23.627,5047,23.678
753,4466,22.313,4921,23.729
754,4294,22.473,5208,22.624
755,5797,22.86,4936,23.09
756,4346,21.803,5071,22.948
757,5072,22.289,5109,23.394
758,4313,22.233,5252,23.373
759,4700,23.057,5061,23.612
760,4251,22.998,5317,23.492
761,4927,23.05,5147,24.139
762,4499,24.097,5209,23.772
763,5359,22.938,4891,24.032
764,4799,22.75,5254,24.115
765,4314,23.486,5302,24.392
766,4297,25.14,5374,23.317
767,4507,22.938,5017,25.041
768,4646,24.061,5148,24.349
769,5282,23.691,5264,24.104
770,4425,23.334,5237,24.667
771,4319,23.819,5069,24.086
772,4114,23.386,5056,24.412
773,4485,24.99,5131,25.291
774,4022,23.788,4897,24.555
775,4290,23.514,5332,25.326
776,5312,24.045,5205,26.416
777,3851,22.819,5404,27.471
778,5333,24.082,4986,24.702
779,5123,24.067,5485,25.292
780,4158,24.807,5184,24.512
781,5288,25.148,5247,25.295
782,4481,23.381,5386,23.884
783,3915,23.978,5300,23.435
784,4763,23.431,5275,24.527
785,5507,23.226,5260,26.584
786,4027,23.857,5116,24.862
787,4876,24.321,5110,24.865
788,5560,26.283,5279,31.154
789,4730,46.408,5657,34.979
790,4113,29.786,5144,30.208
791,4747,28.062,5649,35.402
792,4256,28.525,5210,29.16
793,4849,42.593,5300,35.361
794,4923,24.268,5225,26.874
795,4647,23.868,5392,24.663
796,4560,23.412,5162,24.52
797,4369,23.764,5526,24.507
798,4305,25.296,5452,24.859
799,5117,24.046,5287,25.444
800,4985,23.995,5289,26.217
