Vertices,Comparisons(sparse),Duration(sparse),Comparisons(dense),Duration(dense)
500,1487,12.556,3309,13.11
501,1491,12.498,3494,13.129
502,1493,13.092,3208,13.217
503,1498,13.137,3457,13.376
504,1499,12.736,3352,13.345
505,1507,13.041,3418,13.358
506,1511,13.09,3356,13.443
507,1513,13.62,3353,13.39
508,1514,13.003,3449,13.564
509,1516,13.079,3490,13.596
510,1522,13.041,3308,13.483
511,1522,13.281,3361,13.68
512,1526,13.11,3364,13.683
513,1530,13.146,3346,14.054
514,1533,13.435,3514,14.277
515,1529,13.309,3426,13.811
516,1539,13.297,3678,14.536
517,1538,13.297,3390,14.638
518,1546,13.642,3357,13.964
519,1547,14.486,3405,14.445
520,1552,13.994,3661,14.274
521,1554,13.667,3529,14.432
522,1559,13.511,3525,14.218
523,1559,13.621,3581,14.342
524,1560,14.026,3385,14.305
525,1565,13.725,3519,14.495
526,1562,14.381,3671,14.805
527,1567,13.901,3537,14.92
528,1575,13.634,3435,14.594
529,1577,14.026,3412,14.401
530,1582,14.241,3600,14.48
531,1583,14.581,3595,14.756
532,1588,13.831,3580,15.314
533,1587,14.398,3664,14.959
534,1591,14.337,3574,14.879
535,1592,14.636,3470,14.949
536,1599,14.231,3500,15.235
537,1600,14.615,3477,15.296
538,1607,14.526,3562,15.218
539,1611,14.539,3648,15.381
540,1613,14.429,3499,15.428
541,1613,14.79,3624,15.517
542,1615,14.713,3568,15.16
543,1621,15.158,3497,15.742
544,1620,14.741,3534,15.79
545,1625,15.369,3558,15.737
546,1631,15.508,3615,15.907
547,1633,15.418,3757,15.762
548,1630,15.406,3625,15.583
549,1637,15.199,3648,16.083
550,1639,15.319,3636,15.883
551,1639,14.914,3611,15.648
552,1647,15.18,3973,16.005
553,1652,15.781,3724,16.083
554,1651,15.372,3609,15.986
555,1654,15.357,3811,16.039
556,1656,15.412,3626,16.425
557,1659,15.776,3717,18.676
558,1664,16.511,3601,16.612
559,1665,15.965,3710,17.028
560,1672,16.138,3701,17.267
561,1668,16.04,3837,16.457
562,1675,16.164,3692,16.729
563,1678,15.913,3686,16.799
564,1683,15.844,3630,16.764
565,1686,16.013,3789,16.641
566,1690,16.282,3741,16.559
567,1690,15.93,3778,16.784
568,1695,16.895,3716,16.82
569,1695,16.107,3881,17.154
570,1701,16.876,3648,17.08
571,1702,16.435,3857,17.246
572,1707,16.468,3870,17.204
573,1711,17.361,3811,18.073
574,1714,16.476,3830,17.427
575,1717,16.802,3831,17.657
576,1720,16.651,3869,17.697
577,1721,16.984,3964,17.766
578,1725,16.861,3810,17.841
579,1726,17.183,3806,17.606
580,1731,17.273,3967,17.664
581,1730,17.078,3785,17.901
582,1737,17.11,4040,17.451
583,1741,17.249,4082,18.569
584,1745,17.295,3731,39.912
585,1744,38.683,3925,41.489
586,1749,38.842,3917,41.383
587,1753,39.685,3882,51.932
588,1751,39.525,3963,40.444
589,1755,40.553,4016,40.491
590,1762,39.841,3813,41.421
591,1764,40.417,3929,44.632
592,1768,41.846,3846,40.485
593,1770,40.938,3944,41.505
594,1773,40.909,3977,41.156
595,1775,40.788,3931,44.336
596,1779,40.56,3991,41.695
597,1783,42.177,3970,43.359
598,1781,41.447,4373,42.835
599,1788,41.542,3954,42.185
600,1790,41.164,4041,43.198
601,1793,41.518,3882,43.182
602,1795,41.298,4178,43.682
603,1798,42.242,4228,43.511
604,1804,41.65,4371,43.883
605,1808,43.65,3896,46.118
606,1809,41.883,4058,43.189
607,1812,42.302,3965,43.707
608,1816,42.682,3992,46.235
609,1817,43.31,3997,43.631
610,1818,43.162,4244,45.698
611,1826,42.681,4061,44.413
612,1824,43.487,3948,44.305
613,1829,44.071,4130,45.208
614,1835,43.718,4014,44.838
615,1834,44.22,4164,44.325
616,1839,43.527,3996,45.407
617,1843,43.655,4259,45.411
618,1843,44.414,4100,46.491
619,1848,43.648,4084,46.856
620,1851,44.334,4241,46.497
621,1850,43.868,4249,46.812
622,1857,44.434,4150,45.89
623,1854,44.209,4134,46.425
624,1862,44.877,4102,46.952
625,1861,44.789,4081,45.549
626,1867,44.835,4092,46.846
627,1872,44.849,4375,47.522
628,1873,45.472,4240,47.662
629,1875,44.722,4333,47.672
630,1883,46.067,4827,47.13
631,1885,45.723,4147,47.89
632,1889,46.161,4437,48.256
633,1883,46.191,4197,48.637
634,1888,45.648,4216,47.812
635,1899,46.402,4330,48.35
636,1894,47.568,4151,50.826
637,1904,48.988,4229,48.397
638,1908,46.911,4335,48.861
639,1908,46.151,4424,46.518
640,1911,46.977,4295,49.448
641,1917,47.843,4158,49.826
642,1915,47.093,4130,49.395
643,1921,46.97,4341,48.845
644,1922,47.098,4288,50.001
645,1927,47.684,4641,50.693
646,1927,47.585,4259,51.082
647,1931,48.302,4307,50.888
648,1932,48.226,4438,49.654
649,1937,48.403,4665,50.652
650,1943,48.195,4462,49.834
651,1945,48.412,4397,50.195
652,1944,48.91,4399,50.772
653,1949,49.505,4312,46.004
654,1953,48.653,4293,50.416
655,1953,49.429,4569,50.67
656,1958,49.015,4434,52.977
657,1961,49.49,4769,50.882
658,1965,50.254,4319,51.095
659,1966,49.896,4311,52.796
660,1972,50.39,4404,54.07
661,1976,50.706,4421,52.676
662,1976,51.023,4429,52.426
663,1981,50.025,4293,52.148
664,1983,50.895,4299,55.028
665,1987,51.557,4357,53.137
666,1987,50.648,4482,53.882
667,1988,50.697,4421,53.021
668,1994,52.067,4561,54.118
669,1993,51.136,4625,52.857
670,1998,51.727,4539,53.907
671,2001,51.356,4524,54.277
672,2010,51.228,4558,52.786
673,2007,51.056,4404,55.475
674,2011,52.652,4683,54.995
675,2017,51.206,4676,55.322
676,2019,53.4,4574,54.074
677,2025,52.072,4495,54.569
678,2025,52.471,4562,55.17
679,2026,53.24,4421,55.158
680,2031,52.839,4506,54.645
681,2032,52.645,4553,55.723
682,2040,48.528,4577,55.473
683,2037,53.206,4680,58.198
684,2038,51.603,4561,56.664
685,2046,54.1,4410,56.084
686,2051,53.524,4519,57.429
687,2047,54.528,4613,56.624
688,2055,54.11,4603,57.335
689,2057,56.387,4593,56.235
690,2064,54.837,4563,58.517
691,2059,55.243,4456,56.47
692,2067,55.021,4411,57.005
693,2066,54.897,4555,57.676
694,2069,54.945,4511,58.254
695,2074,54.798,4670,56.871
696,2082,55.973,4646,57.438
697,2079,56.056,4604,58.78
698,2081,55.4,4541,57.225
699,2087,56.593,4635,58.69
700,2091,57.161,4645,58.413
701,2093,56.198,4674,58.326
702,2097,56.555,4795,59.407
703,2100,57.39,4774,59.008
704,2106,58.034,4739,60.546
705,2107,56.941,4810,60.421
706,2108,56.667,4721,59.486
707,2111,55.275,4692,60.679
708,2112,57.507,4720,61.388
709,2117,57.797,4705,59.634
710,2117,57.57,4813,61.459
711,2125,56.713,4740,60.364
712,2126,58.103,4688,60.489
713,2130,58.363,4651,60.321
714,2128,62.585,4859,59.551
715,2132,56.022,4898,59.853
716,2136,58.469,4785,61.613
717,2140,59.683,4823,61.047
718,2143,58.736,4684,61.28
719,2148,59.489,4818,62.724
720,2150,59.637,4705,61.953
721,2153,59.469,4729,61.406
722,2158,60.082,4799,61.97
723,2157,59.273,4898,64.086
724,2156,61.506,4813,62.215
725,2165,61.284,4842,62.643
726,2166,60.916,4806,62.603
727,2171,60.018,4908,63.338
728,2175,61.513,4838,63.647
729,2180,61.124,4727,64.308
730,2180,64.302,5177,63.605
731,2178,62.4,4861,63.455
732,2188,61.147,4779,64.452
733,2193,60.446,4895,63.389
734,2193,61.416,4900,85.898
735,2190,80.002,4770,83.324
736,2201,66.068,4957,64.738
737,2205,61.865,4909,62.955
738,2206,61.139,4789,64.697
739,2208,60.782,4818,65.333
740,2203,62.329,4836,64.27
741,2216,62.817,4946,68.066
742,2214,63.797,4943,66.985
743,2218,63.481,4999,65.823
744,2222,63.335,4735,63.274
745,2224,63.652,4945,66.805
746,2226,63.67,4963,67.394
747,2233,64.603,5025,67.795
748,2233,62.037,5040,68.863
749,2231,64.5,4950,66.226
750,2243,65.005,5073,68.963
751,2241,64.023,4677,66.341
752,2247,65.116,4912,67.733
753,2249,65.04,4953,68.077
754,2254,64.748,5091,68.372
755,2252,65.857,4973,68.447
756,2257,64.86,4894,68.672
757,2262,65.702,5314,70.464
758,2265,66.296,5159,68.323
759,2264,66.258,5100,67.206
760,2269,66.745,5213,70.145
761,2273,66.146,5149,71.629
762,2274,67.151,5088,71.606
763,2282,66.574,5078,68.03
764,2284,67.828,5016,70.578
765,2286,66.606,5158,69.652
766,2287,67.258,5022,69.224
767,2288,67.66,5145,69.767
768,2293,67.475,5148,70.142
769,2298,67.048,5132,68.89
770,2303,67.947,5007,71.676
771,2301,69.359,5150,72.272
772,2305,69.498,5076,72.447
773,2310,68.444,5073,70.101
774,2312,69.099,5159,69.565
775,2313,67.554,5228,72.354
776,2321,68.833,5195,72.395
777,2321,69.188,5250,74.356
778,2327,69.795,5243,73.51
779,2328,68.174,5267,73.705
780,2332,67.626,5241,71.859
781,2334,62.257,5163,71.697
782,2337,70.617,5243,71.145
783,2336,70.883,5225,74.948
784,2345,70.715,5091,74.267
785,2350,69.792,5231,73.834
786,2345,71.83,5165,73.846
787,2348,70.292,5319,74.653
788,2355,70.36,5210,73.652
789,2356,70.795,5286,73.882
790,2363,69.997,5325,74.714
791,2365,71.86,5347,76.096
792,2369,72.57,5312,69.018
793,2372,71.988,5183,74.431
794,2371,72.927,5161,75.786
795,2374,73.107,5644,75.31
796,2380,73.343,5256,74.469
797,2380,73.517,5056,75.636
798,2386,73.269,5441,76.693
799,2389,74.822,5195,77.018
800,2392,73.196,5268,77.859
